trend_peak_season,coeficient_peak_season,intercept_peak_season,all_peak_season,00s_peak_season,10s_peak_season,test_peak_season,eff_peak_season,trend_season_length,coeficient_season_length,intercept_season_length,all_season_length,00s_season_length,10s_season_length,test_season_length,eff_season_length,trend_size,coeficient_size,intercept_size,all_size,00s_size,10s_size,test_size,eff_size,trend_total_ba,coeficient_total_ba,intercept_total_ba,all_total_ba,00s_total_ba,10s_total_ba,test_total_ba,eff_total_ba,trend_n_fires,coeficient_n_fires,intercept_n_fires,all_n_fires,00s_n_fires,10s_n_fires,test_n_fires,eff_n_fires,trend_mx_grw,coeficient_mx_grw,intercept_mx_grw,all_mx_grw,00s_mx_grw,10s_mx_grw,test_mx_grw,eff_mx_grw,trend_dur,coeficient_dur,intercept_dur,all_dur,00s_dur,10s_dur,test_dur,eff_dur,trend_fsr,coeficient_fsr,intercept_fsr,all_fsr,00s_fsr,10s_fsr,test_fsr,eff_fsr,trend_log_size,coeficient_log_size,intercept_log_size,all_log_size,00s_log_size,10s_log_size,test_log_size,eff_log_size,trend_log_n_fires,coeficient_log_n_fires,intercept_log_n_fires,all_log_n_fires,00s_log_n_fires,10s_log_n_fires,test_log_n_fires,eff_log_n_fires,trend_log_mx_grw_km2,coeficient_log_mx_grw_km2,intercept_log_mx_grw_km2,all_log_mx_grw_km2,00s_log_mx_grw_km2,10s_log_mx_grw_km2,test_log_mx_grw_km2,eff_log_mx_grw_km2,trend_log_tba,coeficient_log_tba,intercept_log_tba,all_log_tba,00s_log_tba,10s_log_tba,test_log_tba,eff_log_tba,trend_log_dur,coeficient_log_dur,intercept_log_dur,all_log_dur,00s_log_dur,10s_log_dur,test_log_dur,eff_log_dur,trend_log_fsr_km2_dy,coeficient_log_fsr_km2_dy,intercept_log_fsr_km2_dy,all_log_fsr_km2_dy,00s_log_fsr_km2_dy,10s_log_fsr_km2_dy,test_log_fsr_km2_dy,eff_log_fsr_km2_dy,aoi,fire_rotation,koppen
NA,NA,NA,278,NA,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2165,NA,0.2165,NA,NA,NA,NA,NA,0.433,0,0.433,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,NA,0.2147,NA,0.2147,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,0.2147,NA,0.2147,NA,NA,NA,NA,NA,0.196,NA,0.196,NA,NA,NA,NA,NA,1.099,0,1.099,NA,NA,NA,NA,NA,0.1945,NA,0.1945,NA,NA,NA,NA,NA,0.392,0,0.392,NA,NA,NA,NA,NA,0.6931,NA,0.6931,NA,NA,NA,NA,NA,0.1945,NA,0.1945,NA,NA,armenia_Temperate,1409462.144550101,Temperate
ns,NA,NA,244.5,247.3,239.6,ns,0.2185,+,2.546,-5038,90.53,87.67,94.97,ns,0.281,ns,NA,NA,10.97,12.09,9.481,-,0.01828,ns,NA,NA,5879000,3693000,2187000,ns,0.07285,ns,NA,NA,536100,305500,230700,ns,0.07285,ns,NA,NA,3.926,4.242,3.507,-,0.04837,ns,NA,NA,2,1.977,2.03,+,0.005006,ns,NA,NA,1.34,1.422,1.232,-,0.04799,ns,NA,NA,0.7327,0.7355,0.7289,-,0.01828,ns,NA,NA,13.19,12.63,12.35,ns,0.07285,ns,NA,NA,0.6156,0.6212,0.6082,-,0.04837,ns,NA,NA,392800,224700,168100,ns,0.1145,ns,NA,NA,0.9577,0.9508,0.9669,+,0.005006,ns,NA,NA,0.4765,0.4836,0.467,-,0.04799,australia_Arid,27.0644163327845,Arid
ns,NA,NA,227.1,218.9,235.3,ns,0.09366,+,1.31,-2511,126.3,127.2,125,ns,0.4475,ns,NA,NA,2.471,2.461,2.48,+,0.01497,ns,NA,NA,371700,185700,185900,ns,0.1561,+,50.62,-91710,150400,75450,74970,ns,0.2185,ns,NA,NA,1.08,1.073,1.086,ns,0.002229,ns,NA,NA,1.951,1.957,1.946,-,0.02437,ns,NA,NA,0.5032,0.5115,0.4947,-,0.00773,ns,NA,NA,0.524,0.5291,0.5188,-,0.01497,+,0.006551,-4.389,11.92,11.23,11.22,ns,0.2185,ns,NA,NA,0.4225,0.4273,0.4176,ns,0.002229,+,36.55,-69980,78820,39920,38900,ns,0.2185,-,-8.645e-4,2.705,0.9447,0.9473,0.942,-,0.02437,ns,NA,NA,0.3297,0.3331,0.3262,-,0.00773,australia_Temperate,428.154296826444,Temperate
ns,NA,NA,328.4,37.19,358,ns,0.2041,ns,NA,NA,100.8,83.52,31.48,ns,0.2231,ns,NA,NA,28.89,3.646,97.34,ns,0.1041,ns,NA,NA,10400,958.9,9442,ns,0.06855,ns,NA,NA,360,263,97,ns,0,ns,NA,NA,8.699,0.9125,29.81,+,0.1418,ns,NA,NA,1.814,1.673,2.196,ns,0.07648,ns,NA,NA,1.352,0.4565,3.781,+,0.1165,ns,NA,NA,0.4323,0.3901,0.5467,ns,0.1041,ns,NA,NA,5.889,5.576,4.585,ns,0,ns,NA,NA,0.3506,0.3166,0.4428,+,0.1418,ns,NA,NA,155.6,102.6,53.03,ns,0.0457,+,0.01447,-28.23,0.8989,0.8725,0.9706,ns,0.07648,ns,NA,NA,0.288,0.2697,0.3376,+,0.1165,australia_Boreal,15299.5324628948,Boreal
-,-1.734,3712,228.6,234.8,220.1,-,0.4891,+,1.145,-2237,68.25,63.28,73.69,+,0.6764,-,-0.2782,565.7,6.555,7.75,5.409,ns,0.002617,-,-2619,5458000,3869000,2239000,1630000,ns,0.2185,+,556.3,-1091000,590200,288900,301300,+,0.614,-,-0.04714,96.86,2.148,2.416,1.891,-,0.0141,ns,NA,NA,2.262,2.254,2.269,+,0.004745,-,-0.01039,21.75,0.8385,0.918,0.7622,-,0.009106,-,-0.001456,3.631,0.7102,0.7237,0.6972,ns,0.002617,+,0.02016,-30.32,13.29,12.57,12.62,+,0.614,-,-0.002073,4.741,0.5683,0.5829,0.5543,-,0.0141,+,287.4,-557900,419200,209100,210100,+,0.5724,ns,NA,NA,1.005,0.9992,1.011,+,0.004745,-,-0.001679,3.805,0.4224,0.4355,0.4099,-,0.009106,australia_Equatorial,41.1305562026825,Equatorial
NA,NA,NA,29,31,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2165,0.2165,0.2165,NA,NA,NA,NA,NA,0.8661,0.433,0.433,NA,NA,NA,NA,NA,4,2,2,NA,NA,NA,NA,NA,0.2147,0.2147,0.2147,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,0.2147,0.2147,0.2147,NA,NA,NA,NA,NA,0.196,0.196,0.196,NA,NA,NA,NA,NA,1.609,1.099,1.099,NA,NA,NA,NA,NA,0.1945,0.1945,0.1945,NA,NA,NA,NA,NA,0.784,0.392,0.392,NA,NA,NA,NA,NA,0.6931,0.6931,0.6931,NA,NA,NA,NA,NA,0.1945,0.1945,0.1945,NA,NA,australia_Polar,183732045.202324,Polar
ns,NA,NA,181.1,178.4,209.6,ns,0.1634,ns,NA,NA,56.24,46.07,118.6,ns,0.053,-,-0.06854,138.4,1.324,1.668,0.4085,-,0.1691,-,-1.291,2610,309.8,283.6,26.15,-,0.4891,-,-0.6923,1399,234,170,64,ns,0.314,-,-0.02847,58.09,1.248,1.448,0.7144,-,0.175,-,-0.09685,197.4,2.679,2.976,1.891,ns,0.08897,ns,NA,NA,0.6047,0.616,0.5747,-,0.2234,-,-0.01271,25.97,0.4895,0.5538,0.3184,-,0.1691,-,-0.08659,176.1,5.46,5.142,4.174,ns,0.314,ns,NA,NA,0.5731,0.5939,0.5178,-,0.175,-,-0.4456,903.6,114.5,94.15,20.38,ns,0.4475,-,-0.0195,40.17,1.04,1.085,0.9231,ns,0.08897,ns,NA,NA,0.4269,0.421,0.4426,+,0.2234,austria_Boreal,5593.611310550797,Boreal
NA,NA,NA,294.3,202,312.8,NA,NA,NA,NA,NA,93.53,-0,69.45,NA,NA,NA,NA,NA,0.2596,0.2165,0.2704,NA,NA,NA,NA,NA,1.298,0.2165,1.082,NA,NA,NA,NA,NA,5,1,4,NA,NA,NA,NA,NA,0.6869,0.4293,0.7513,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,0.6869,0.4293,0.7513,NA,NA,NA,NA,NA,0.2286,0.196,0.2368,NA,NA,NA,NA,NA,1.792,0.6931,1.609,NA,NA,NA,NA,NA,0.5121,0.3572,0.5508,NA,NA,NA,NA,NA,1.143,0.196,0.9471,NA,NA,NA,NA,NA,0.6931,0.6931,0.6931,NA,NA,NA,NA,NA,0.5121,0.3572,0.5508,NA,NA,austria_Polar,1334731.6136475718,Polar
ns,NA,NA,201.4,205.3,196.3,ns,0.1145,+,0.7871,-1549,35.52,28.73,42.13,+,0.6764,-,-0.06707,138.3,3.836,3.892,3.767,ns,0.009489,ns,NA,NA,31560,17720,13840,ns,0.1561,ns,NA,NA,8228,4554,3674,ns,0.01041,ns,NA,NA,1.775,1.811,1.731,ns,0.01857,ns,NA,NA,3.517,3.506,3.53,ns,0.007631,ns,NA,NA,0.652,0.6657,0.6351,-,0.0266,ns,NA,NA,0.8083,0.8187,0.7953,ns,0.009489,ns,NA,NA,9.015,8.424,8.209,ns,0.01041,ns,NA,NA,0.6349,0.6464,0.6207,ns,0.01857,ns,NA,NA,6650,3729,2922,ns,0.03122,ns,NA,NA,1.241,1.237,1.246,ns,0.007631,ns,NA,NA,0.4016,0.409,0.3924,-,0.0266,azerbaijan_Arid,56.52408577399317,Arid
ns,NA,NA,216.7,213.9,222.7,ns,0.05203,ns,NA,NA,29.39,29.28,28.77,ns,0.1353,ns,NA,NA,2.28,2.198,2.481,ns,0.07582,ns,NA,NA,1457,998.1,458.9,ns,0.2602,ns,NA,NA,639,454,185,ns,0.1978,ns,NA,NA,1.408,1.216,1.88,ns,0.06716,+,0.1017,-201,3.571,3.319,4.189,+,0.1044,ns,NA,NA,0.6056,0.5714,0.6896,ns,0.00329,+,0.006032,-11.4,0.7553,0.7265,0.8258,ns,0.07582,ns,NA,NA,6.461,6.12,5.226,ns,0.1978,ns,NA,NA,0.6091,0.5759,0.6907,ns,0.06716,ns,NA,NA,482.6,329.9,152.8,ns,0.1977,+,0.01516,-29.17,1.271,1.229,1.376,+,0.1044,ns,NA,NA,0.3824,0.3701,0.4126,ns,0.00329,azerbaijan_Temperate,1224.527512790367,Temperate
ns,NA,NA,249.2,256.1,236.9,ns,0.1167,ns,NA,NA,55.7,49.07,64.05,ns,0.09366,ns,NA,NA,2.229,2.541,1.83,ns,0.03054,ns,NA,NA,3176,2032,1143,ns,0.07285,ns,NA,NA,1425,800,625,ns,0.03122,ns,NA,NA,1.077,1.208,0.9098,ns,0.03233,ns,NA,NA,3.31,3.386,3.213,ns,0.04247,ns,NA,NA,0.4391,0.4699,0.3998,ns,0.0293,ns,NA,NA,0.656,0.6911,0.6111,ns,0.03054,ns,NA,NA,7.263,6.686,6.439,ns,0.03122,ns,NA,NA,0.4925,0.518,0.4598,ns,0.03233,ns,NA,NA,934.8,552.8,381.9,ns,0.05203,ns,NA,NA,1.202,1.222,1.177,ns,0.04247,ns,NA,NA,0.3174,0.3289,0.3028,ns,0.0293,azerbaijan_Boreal,561.771214580196,Boreal
NA,NA,NA,247,191.8,303.9,NA,NA,NA,NA,NA,68.84,36.39,42.03,NA,NA,NA,NA,NA,0.5073,0.3736,0.8045,NA,NA,NA,NA,NA,29.42,14.94,14.48,NA,NA,NA,NA,NA,58,40,18,NA,NA,NA,NA,NA,0.322,0.263,0.4532,NA,NA,NA,NA,NA,2.414,2.325,2.611,NA,NA,NA,NA,NA,0.2302,0.2177,0.2579,NA,NA,NA,NA,NA,0.3428,0.3006,0.4364,NA,NA,NA,NA,NA,4.078,3.714,2.944,NA,NA,NA,NA,NA,0.2588,0.2305,0.3216,NA,NA,NA,NA,NA,19.88,12.02,7.856,NA,NA,NA,NA,NA,1.055,1.03,1.11,NA,NA,NA,NA,NA,0.2028,0.1944,0.2217,NA,NA,azerbaijan_Polar,60634.22907550201,Polar
ns,NA,NA,90.03,91.27,88.45,ns,0.05203,ns,NA,NA,28.36,33.87,19.07,ns,0.1353,ns,NA,NA,1.582,1.513,1.68,+,0.04983,-,-9.398,19220,10610,5937,4672,ns,0.1561,ns,NA,NA,6705,3925,2780,ns,0.3018,ns,NA,NA,0.7863,0.7496,0.8382,+,0.05906,ns,NA,NA,3.19,3.115,3.297,ns,0.02436,ns,NA,NA,0.3538,0.3467,0.364,+,0.04787,ns,NA,NA,0.5663,0.5445,0.5972,+,0.04983,-,-0.04058,87.14,8.811,8.275,7.931,ns,0.3018,ns,NA,NA,0.4223,0.4079,0.4427,+,0.05906,-,-4.936,10060,3797,2137,1660,ns,0.2602,ns,NA,NA,1.184,1.168,1.208,ns,0.02436,ns,NA,NA,0.2755,0.2708,0.2821,+,0.04787,bangladesh_Equatorial,264.03440479205915,Equatorial
ns,NA,NA,87.02,85.42,88.67,ns,0.07285,+,1.164,-2323,36.93,31.54,41.72,ns,0.1561,-,-0.02096,43.59,1.328,1.288,1.372,ns,0.01435,ns,NA,NA,772.9,391.4,381.5,ns,0.1769,ns,NA,NA,582,304,278,ns,0.06254,ns,NA,NA,0.8749,0.7019,1.064,ns,0.02292,-,-0.03802,79.66,3.296,3.296,3.295,ns,0.01975,ns,NA,NA,0.3709,0.3593,0.3836,ns,0.01387,-,-0.01178,24.24,0.5621,0.5677,0.556,ns,0.01435,ns,NA,NA,6.368,5.72,5.631,ns,0.06254,ns,NA,NA,0.4309,0.4268,0.4355,ns,0.02292,ns,NA,NA,327.2,172.6,154.6,ns,0.1977,-,-0.008451,18.18,1.191,1.195,1.187,ns,0.01975,ns,NA,NA,0.2792,0.2791,0.2792,ns,0.01387,bangladesh_Temperate,3623.992978354398,Temperate
ns,NA,NA,149.2,158.4,135.8,ns,0.2393,ns,NA,NA,81.8,79.32,83.46,ns,0.07285,+,0.02434,-47.82,1.17,1.066,1.362,+,0.04485,ns,NA,NA,8825,5207,3619,ns,0.05203,ns,NA,NA,7540,4884,2656,ns,0.1874,+,0.05238,-104.1,1.828,1.226,2.936,+,0.1275,ns,NA,NA,2.853,2.855,2.849,ns,0.02437,+,0.01762,-34.68,0.7514,0.6412,0.954,+,0.1364,+,0.005757,-11.09,0.5201,0.498,0.5606,+,0.04485,-,-0.02451,54.98,8.928,8.494,7.885,ns,0.1874,+,0.01263,-24.8,0.6324,0.5902,0.7099,+,0.1275,ns,NA,NA,3921,2432,1489,ns,0.09366,ns,NA,NA,1.117,1.112,1.127,ns,0.02437,+,0.006105,-11.73,0.4656,0.4373,0.5176,+,0.1364,belarus_Boreal,483.6145007437889,Boreal
NA,NA,NA,141.3,146.4,134.5,NA,NA,NA,NA,NA,66.28,82.15,38.67,NA,NA,NA,NA,NA,1.1,0.8627,1.723,NA,NA,NA,NA,NA,31.9,18.12,13.78,NA,NA,NA,NA,NA,29,21,8,NA,NA,NA,NA,NA,2.983,2.709,3.703,NA,NA,NA,NA,NA,3.897,3.952,3.75,NA,NA,NA,NA,NA,1.284,1.154,1.626,NA,NA,NA,NA,NA,0.5771,0.5096,0.7541,NA,NA,NA,NA,NA,3.401,3.091,2.197,NA,NA,NA,NA,NA,1.18,1.128,1.318,NA,NA,NA,NA,NA,16.73,10.7,6.033,NA,NA,NA,NA,NA,1.379,1.393,1.342,NA,NA,NA,NA,NA,0.7842,0.7395,0.9017,NA,NA,belgium_Temperate,19827.540173982023,Temperate
NA,NA,NA,126.1,109.3,293,NA,NA,NA,NA,NA,57.27,13.17,-0,NA,NA,NA,NA,NA,1.894,2.152,0.8633,NA,NA,NA,NA,NA,9.471,8.608,0.8633,NA,NA,NA,NA,NA,5,4,1,NA,NA,NA,NA,NA,3.864,4.025,3.22,NA,NA,NA,NA,NA,4.2,4,5,NA,NA,NA,NA,NA,1.665,1.867,0.8586,NA,NA,NA,NA,NA,0.7674,0.8037,0.6223,NA,NA,NA,NA,NA,1.792,1.609,0.6931,NA,NA,NA,NA,NA,1.36,1.34,1.44,NA,NA,NA,NA,NA,3.837,3.215,0.6223,NA,NA,NA,NA,NA,1.464,1.382,1.792,NA,NA,NA,NA,NA,0.8817,0.9472,0.6198,NA,NA,belgium_Boreal,66784.59455186714,Boreal
ns,NA,NA,107.7,107.3,108.3,ns,0.01041,ns,NA,NA,27.98,24.2,32.33,ns,0.4475,ns,NA,NA,1.2,1.368,1.031,-,0.03073,ns,NA,NA,7626,4356,3270,ns,0.05203,ns,NA,NA,6357,3185,3172,ns,0.05203,-,-0.02572,53.88,2.061,2.282,1.84,-,0.04966,ns,NA,NA,3.147,3.246,3.048,ns,0.02368,-,-0.007469,16.01,1.062,1.123,1.001,-,0.04578,ns,NA,NA,0.4848,0.5077,0.4618,-,0.03073,ns,NA,NA,8.757,8.067,8.062,ns,0.05203,-,-0.00363,8.159,0.8663,0.8985,0.8339,-,0.04966,ns,NA,NA,3082,1617,1465,ns,0.03122,ns,NA,NA,1.135,1.151,1.12,ns,0.02368,-,-0.003233,7.153,0.6679,0.6863,0.6495,-,0.04578,belize_Equatorial,61.18312471998612,Equatorial
-,-5.576,11460,256.8,279.5,213.4,-,0.7389,+,1.523,-2924,136.5,123,150,+,0.6972,-,-0.004432,10.55,1.783,1.869,1.638,-,0.01995,-,-666,1357000,374100,245900,128200,-,0.8013,-,-320.8,656800,209800,131500,78270,-,0.5099,-,-0.004313,9.647,1.041,1.1,0.9404,-,0.03096,-,-0.003684,9.354,1.952,1.972,1.918,-,0.01646,-,-0.001365,3.254,0.5319,0.5498,0.5019,-,0.02794,-,-0.001528,3.629,0.566,0.5795,0.5433,-,0.01995,-,-0.03101,71.56,12.25,11.79,11.27,-,0.5099,-,-7.238e-4,1.918,0.4653,0.477,0.4458,-,0.03096,-,-190.9,390100,118700,76220,42520,-,0.6556,-,-0.00104,3.056,0.9646,0.9702,0.9552,-,0.01646,-,-5.566e-4,1.471,0.359,0.3666,0.3463,-,0.02794,benin_Equatorial,6.435681207086209,Equatorial
ns,NA,NA,261.6,273.5,246.7,ns,0.2393,+,1.123,-2132,127.6,119,136.2,ns,0.3434,ns,NA,NA,4.737,4.821,4.635,ns,0.005734,-,-47.13,97130,59130,32820,26310,ns,0.1769,-,-6.833,14390,12480,6807,5676,ns,0.1977,-,-0.02229,47.58,2.654,2.811,2.467,ns,0.003762,+,0.006357,-10.38,2.409,2.375,2.45,ns,0.00883,ns,NA,NA,1.029,1.078,0.9708,ns,3.693e-4,+,0.001376,-1.934,0.8392,0.8367,0.8423,ns,0.005734,-,-0.01093,28.45,9.432,8.826,8.644,ns,0.1977,ns,NA,NA,0.7132,0.7148,0.7112,ns,0.003762,-,-3.399,7344,10480,5696,4781,ns,0.2185,+,9.894e-4,-0.9266,1.063,1.056,1.071,ns,0.00883,ns,NA,NA,0.5135,0.5201,0.5055,ns,3.693e-4,benin_Arid,40.715117860518795,Arid
ns,NA,NA,89.62,89.16,90.04,ns,0.07285,ns,NA,NA,58.6,49.09,66.2,ns,0.1769,+,0.1266,-252.5,2.083,1.828,2.392,ns,0.06683,ns,NA,NA,1352,649.1,703.1,ns,0.09366,ns,NA,NA,649,355,294,ns,0.3236,+,0.05452,-108.9,0.9618,0.8012,1.156,+,0.08328,+,0.107,-211.6,3.627,3.327,3.99,+,0.08596,+,0.008213,-16.15,0.3882,0.3602,0.422,+,0.1223,+,0.03157,-62.84,0.6448,0.5673,0.7385,ns,0.06683,ns,NA,NA,6.477,5.875,5.687,ns,0.3236,+,0.02154,-42.85,0.4852,0.4317,0.54990000000000006,+,0.08328,ns,NA,NA,418.5,201.4,217.1,ns,0.05203,+,0.02069,-40.37,1.252,1.202,1.313,+,0.08596,+,0.005913,-11.6,0.2949,0.275,0.3189,+,0.1223,bhutan_Temperate,608.9639925082164,Temperate
NA,NA,NA,95.66,91.56,110,NA,NA,NA,NA,NA,47.26,62.39,NA,NA,NA,NA,NA,NA,0.3243,0.3782,0.2165,NA,NA,NA,NA,NA,1.946,1.513,0.433,NA,NA,NA,NA,NA,6,4,2,NA,NA,NA,NA,NA,0.2862,0.322,0.2147,NA,NA,NA,NA,NA,1.333,1.5,1,NA,NA,NA,NA,NA,0.2743,0.3041,0.2147,NA,NA,NA,NA,NA,0.2776,0.3184,0.196,NA,NA,NA,NA,NA,1.946,1.609,1.099,NA,NA,NA,NA,NA,0.2487,0.2758,0.1945,NA,NA,NA,NA,NA,1.665,1.273,0.392,NA,NA,NA,NA,NA,0.8087,0.8664,0.6931,NA,NA,NA,NA,NA,0.2386,0.2607,0.1945,NA,NA,bhutan_Arid,423173.0358690671,Arid
NA,NA,NA,171.8,298.1,50.53,NA,NA,NA,NA,NA,162.1,145.1,20.23,NA,NA,NA,NA,NA,1.508,1.723,1.346,NA,NA,NA,NA,NA,10.55,5.168,5.386,NA,NA,NA,NA,NA,7,3,4,NA,NA,NA,NA,NA,0.736,0.8586,0.644,NA,NA,NA,NA,NA,3.286,3.333,3.25,NA,NA,NA,NA,NA,0.3636,0.3935,0.3412,NA,NA,NA,NA,NA,0.7601,0.8151,0.7188,NA,NA,NA,NA,NA,2.079,1.386,1.609,NA,NA,NA,NA,NA,0.4964,0.5424,0.4618,NA,NA,NA,NA,NA,5.321,2.445,2.875,NA,NA,NA,NA,NA,1.3,1.342,1.269,NA,NA,NA,NA,NA,0.3027,0.3216,0.2885,NA,NA,bhutan_Boreal,78017.56926736273,Boreal
NA,NA,NA,130,135.7,111.9,NA,NA,NA,NA,NA,154.9,155.7,162.3,NA,NA,NA,NA,NA,1.016,1.14,0.7549,NA,NA,NA,NA,NA,31.48,23.93,7.549,NA,NA,NA,NA,NA,31,21,10,NA,NA,NA,NA,NA,0.5817,0.644,0.4508,NA,NA,NA,NA,NA,3.806,4.429,2.5,NA,NA,NA,NA,NA,0.3464,0.3498,0.3392,NA,NA,NA,NA,NA,0.6043,0.6562,0.4953,NA,NA,NA,NA,NA,3.466,3.091,2.398,NA,NA,NA,NA,NA,0.4122,0.4402,0.3533,NA,NA,NA,NA,NA,18.73,13.78,4.953,NA,NA,NA,NA,NA,1.317,1.423,1.094,NA,NA,NA,NA,NA,0.2793,0.2793,0.2794,NA,NA,bhutan_Polar,26154.03528056977,Polar
+,0.708,-1178,239.3,237.8,242.2,ns,0.2393,+,0.6656,-1307,37.67,34.84,42.43,+,0.6348,ns,NA,NA,4.051,3.977,4.2,ns,0.004833,-,-1520,3086000,746300,490600,255700,-,0.4891,-,-493.9,1001000,184200,123400,60880,-,0.6972,ns,NA,NA,1.563,1.544,1.601,ns,0.004833,-,-0.01518,34.53,4.089,4.142,3.983,-,0.007852,ns,NA,NA,0.505,0.4989,0.5172,ns,0.00262,ns,NA,NA,0.7887,0.7939,0.7781,ns,0.004833,-,-0.06722,144.1,12.12,11.72,11.02,-,0.6972,ns,NA,NA,0.5702,0.5731,0.5643,ns,0.004833,-,-435,880600,145300,97930,47370,-,0.6972,-,-0.002805,6.959,1.324,1.33,1.312,-,0.007852,ns,NA,NA,0.3375,0.3374,0.3376,ns,0.00262,bolivia_Equatorial,29.92069107497464,Equatorial
ns,NA,NA,213.1,235.2,198.6,ns,0.1353,ns,NA,NA,109.8,89.99,119,ns,0.2393,ns,NA,NA,1.223,1.147,1.28,ns,0.03135,+,1.741,-3444,1299,515.9,783.4,ns,0.2393,+,1.2,-2352,1062,450,612,ns,0.2816,ns,NA,NA,0.7155,0.6893,0.7348,ns,0.02108,ns,NA,NA,3.008,2.902,3.085,ns,0.01623,ns,NA,NA,0.3706,0.3893,0.3568,ns,0.01765,ns,NA,NA,0.5542,0.5604,0.5496,ns,0.03135,+,0.01818,-32.44,6.969,6.111,6.418,ns,0.2816,-,-0.005007,10.48,0.4144,0.4234,0.4077,ns,0.02108,+,1.113,-2209,588.5,252.2,336.3,ns,0.2602,ns,NA,NA,1.155,1.145,1.162,ns,0.01623,-,-0.00195,4.198,0.2833,0.2927,0.2765,ns,0.01765,bolivia_Arid,17186.957366403818,Arid
ns,NA,NA,239.5,240.7,237.9,ns,0.03122,+,0.9959,-1942,75.1,67.95,83.55,ns,0.3642,ns,NA,NA,1.117,1.088,1.157,ns,0.001743,-,-12.8,25970,6283,3567,2716,ns,0.2602,-,-12.33,25080,5626,3279,2347,ns,0.385,ns,NA,NA,0.6163,0.6004,0.6386,ns,0.008657,ns,NA,NA,2.724,2.672,2.795,ns,0.01635,ns,NA,NA,0.327,0.3291,0.324,ns,0.01284,ns,NA,NA,0.4879,0.4824,0.4955,ns,0.001743,-,-0.04289,91.88,8.635,8.096,7.761,ns,0.385,ns,NA,NA,0.3716,0.3674,0.3774,ns,0.008657,-,-6.587,13390,2745,1582,1163,ns,0.3642,ns,NA,NA,1.086,1.075,1.101,ns,0.01635,ns,NA,NA,0.2613,0.2626,0.2596,ns,0.01284,bolivia_Temperate,3554.4702306976337,Temperate
ns,NA,NA,203.3,202.1,204.6,ns,0.07285,-,-0.6761,1387,31.48,33.75,29.01,ns,0.3642,ns,NA,NA,1.194,1.059,1.371,ns,0.06954,ns,NA,NA,697.5,350.6,346.9,ns,0.01041,ns,NA,NA,584,331,253,ns,0.01043,ns,NA,NA,0.6657,0.5992,0.7526,ns,0.04761,-,-0.04602,95.6,3.154,3.196,3.099,ns,0.02656,ns,NA,NA,0.3487,0.3198,0.3865,ns,0.05383,ns,NA,NA,0.5907,0.5534,0.6395,ns,0.06954,ns,NA,NA,6.372,5.805,5.537,ns,0.01043,ns,NA,NA,0.4207,0.3926,0.4575,ns,0.04761,ns,NA,NA,345,183.2,161.8,ns,0.03122,-,-0.005963,13.22,1.221,1.217,1.225,ns,0.02656,ns,NA,NA,0.2767,0.2584,0.3006,ns,0.05383,bolivia_Polar,32015.29058961742,Polar
ns,NA,NA,211,213.6,207.3,ns,0.02334,ns,NA,NA,38.57,32.68,45.39,ns,0.05206,+,0.06617,-131.2,3.449,3.316,3.657,ns,0.06561,ns,NA,NA,1394,815.7,577.8,ns,0.07285,ns,NA,NA,404,246,158,ns,0.0939,ns,NA,NA,8.656,8.775,8.472,ns,0.08862,ns,NA,NA,4.23,4.089,4.449,ns,0.037,+,0.05042,-98.85,3.287,3.309,3.254,-,0.1116,+,0.01585,-31.25,0.9993,0.9689,1.047,ns,0.06561,ns,NA,NA,6.004,5.509,5.069,ns,0.0939,ns,NA,NA,1.702,1.669,1.752,ns,0.08862,ns,NA,NA,403.7,238.3,165.4,ns,0.09366,ns,NA,NA,1.418,1.394,1.456,ns,0.037,+,0.01511,-29.21,1.225,1.204,1.257,+,0.1116,bosnia_and_herzegovina_Temperate,765.8582268476532,Temperate
+,4.234,-8359,176.4,177,175.8,ns,0.2185,ns,NA,NA,83.59,82.03,85.03,ns,0.3226,ns,NA,NA,2.677,2.529,2.83,ns,0.05616,ns,NA,NA,3060,1469,1591,ns,0.03122,ns,NA,NA,1143,581,562,ns,0.04165,-,-0.1373,280.8,5.452,5.77,5.122,ns,0.02992,-,-0.03684,78.07,3.689,3.549,3.835,ns,0.05003,ns,NA,NA,2.24,2.332,2.144,ns,0.01597,ns,NA,NA,0.7656,0.7441,0.7877,ns,0.05616,ns,NA,NA,7.042,6.366,6.333,ns,0.04165,-,-0.009008,19.4,1.33,1.328,1.332,ns,0.02992,ns,NA,NA,875,432.3,442.7,ns,0.01041,-,-0.007871,17.08,1.276,1.251,1.301,ns,0.05003,-,-0.008282,17.7,0.9805,0.9816,0.9793,ns,0.01597,bosnia_and_herzegovina_Boreal,348.75650481340887,Boreal
